file,aHPC,Caudate,NAcc,VTASN
ISC_sub-control007sub-experimental005_task-magictrickwatching_z.nii.gz,0.0119156,0.0134917,0.0181021,0.0249078
ISC_sub-control007sub-experimental006_task-magictrickwatching_z.nii.gz,0.00652832,0.0095182,-0.0147555,0.00938416
ISC_sub-control007sub-experimental008_task-magictrickwatching_z.nii.gz,-0.0029006,0.0179868,0.00525577,0.00732316
ISC_sub-control007sub-experimental010_task-magictrickwatching_z.nii.gz,-0.00624593,0.0125549,0.00178587,0.0108741
ISC_sub-control007sub-experimental012_task-magictrickwatching_z.nii.gz,0.0247207,0.021999,-0.0154614,0.00367809
ISC_sub-control007sub-experimental014_task-magictrickwatching_z.nii.gz,0.000139967,0.0214499,0.0119529,0.0108368
ISC_sub-control007sub-experimental016_task-magictrickwatching_z.nii.gz,-0.0170771,-0.00159265,-4.4722e-05,0.0152233
ISC_sub-control007sub-experimental018_task-magictrickwatching_z.nii.gz,0.0357029,-0.000498569,-0.0250288,0.00392846
ISC_sub-control007sub-experimental020_task-magictrickwatching_z.nii.gz,0.00664295,0.00905176,-0.00759622,-7.20502e-06
ISC_sub-control007sub-experimental022_task-magictrickwatching_z.nii.gz,0.0276429,0.0228497,0.0267126,0.0187397
ISC_sub-control007sub-experimental024_task-magictrickwatching_z.nii.gz,-0.00119951,0.0264817,-0.00210468,-0.00257278
ISC_sub-control007sub-experimental026_task-magictrickwatching_z.nii.gz,0.0119667,-0.00967853,0.00537815,0.0187611
ISC_sub-control007sub-experimental028_task-magictrickwatching_z.nii.gz,-0.0138733,0.000812326,-0.0148471,-0.00334193
ISC_sub-control007sub-experimental030_task-magictrickwatching_z.nii.gz,0.0121471,0.0224422,0.00352624,0.0147682
ISC_sub-control007sub-experimental032_task-magictrickwatching_z.nii.gz,0.0162027,0.0241111,0.019135,0.0256021
ISC_sub-control007sub-experimental034_task-magictrickwatching_z.nii.gz,-0.00712597,0.0133845,0.0087216,0.0107875
ISC_sub-control007sub-experimental036_task-magictrickwatching_z.nii.gz,0.000544374,0.0330963,0.0129129,-0.00574071
ISC_sub-control007sub-experimental038_task-magictrickwatching_z.nii.gz,0.0108653,0.0190076,0.00820403,0.0127192
ISC_sub-control007sub-experimental040_task-magictrickwatching_z.nii.gz,-0.0122558,0.0289369,0.00978901,-0.0043395
ISC_sub-control007sub-experimental042_task-magictrickwatching_z.nii.gz,-0.00134567,0.0148353,0.00199059,0.00926733
ISC_sub-control007sub-experimental044_task-magictrickwatching_z.nii.gz,0.0138325,0.00985389,0.00791718,-0.00728256
ISC_sub-control007sub-experimental046_task-magictrickwatching_z.nii.gz,0.00670279,0.0198589,0.0257281,0.00508546
ISC_sub-control007sub-experimental048_task-magictrickwatching_z.nii.gz,-0.0078194,0.00865722,0.00324666,-0.0179139
